RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,WEBSITE,PROFIT
248,BIOGEN,225 BINNEY STREET,NOT AVAILABLE,CAMBRIDGE,MA,2142,MIDDLESEX,7400,11449,42.36644,-71.08516,HTTPS://WWW.BIOGEN.COM/,3702.8
116,RAYTHEON,870 WINTER STREET,NOT AVAILABLE,WALTHAM,MA,2451,MIDDLESEX,63000,24069,42.40632,-71.27939,HTTPS://WWW.RAYTHEON.COM/,2211
154,THERMO FISHER SCIENTIFIC,168 3RD AVENUE,NOT AVAILABLE,WALTHAM,MA,2451,MIDDLESEX,54800,18274,42.399867,-71.25811,HTTPS://WWW.THERMOFISHER.COM/US/EN/HOME.HTML,2021.8
334,GLOBAL PARTNERS,800 SOUTH STREET,SUITE 500,WALTHAM,MA,2453,MIDDLESEX,1770,8240,42.35475,-71.26202,HTTP://WWW.GLOBALP.COM/,-199.4
62,DOW CHEMICAL,2030 DOW CENTER,NOT AVAILABLE,MIDLAND,MI,48674,MIDLAND,56000,48158,43.43742,-84.01462,HTTPS://WWW.DOW.COM/EN-US,4318
368,WEC ENERGY GROUP,231 WEST MICHIGAN STREET,NOT AVAILABLE,MILWAUKEE,WI,53203,MILWAUKEE,8074,7472,43.03701,-87.91382,HTTPS://WWW.WECENERGYGROUP.COM/,939
97,NORTHWESTERN MUTUAL,720 EAST WISCONSIN AVENUE,NOT AVAILABLE,MILWAUKEE,WI,53202,MILWAUKEE,5646,28799,43.03961,-87.90223,HTTPS://WWW.NORTHWESTERNMUTUAL.COM/,818
442,ROCKWELL AUTOMATION,1201 SOUTH 2ND STREET,NOT AVAILABLE,MILWAUKEE,WI,53204,MILWAUKEE,22000,5880,43.01807,-87.91331,HTTPS://WWW.ROCKWELLAUTOMATION.COM/,729.7
435,HARLEY-DAVIDSON,3700 WEST JUNEAU AVENUE,NOT AVAILABLE,MILWAUKEE,WI,53208,MILWAUKEE,6000,5997,43.04561,-87.96181,HTTPS://WWW.HARLEY-DAVIDSON.COM/US/EN/INDEX.HTML,692.2
146,MANPOWERGROUP,100 MANPOWER PLACE,NOT AVAILABLE,MILWAUKEE,WI,53212,MILWAUKEE,28000,19654,43.0493,-87.91236,HTTPS://WWW.MANPOWERGROUP.COM/,443.7
408,CONSTELLATION BRANDS,370 WOODCLIFF DRIVE,SUITE 300,FAIRPORT,NY,14450,MONROE,9000,6548,43.0398,-77.45625,HTTPS://WWW.CBRANDS.COM/,1054.9
497,TOLL BROTHERS,250 GIBRALTAR ROAD,NOT AVAILABLE,HORSHAM,PA,19044,MONTGOMERY,4200,5170,40.17486,-75.1359,HTTPS://WWW.TOLLBROTHERS.COM/,382.1
457,UGI,460 NORTH GULPH ROAD,NOT AVAILABLE,KING OF PRUSSIA,PA,19406,MONTGOMERY,13105,5686,40.08857,-75.40659,HTTPS://WWW.UGI.COM/,364.7
276,UNIVERSAL HEALTH SERVICES,367 SOUTH GULPH ROAD,NOT AVAILABLE,KING OF PRUSSIA,PA,19406,MONTGOMERY,70863,10508,40.07846,-75.3696,HTTPS://WWW.UHSINC.COM/,702.4
472,HOST HOTELS & RESORTS,6903 ROCKLEDGE DRIVE,SUITE 1500,BETHESDA,MD,20817,MONTGOMERY,220000,5488,39.02808,-77.1391,HTTPS://WWW.HOSTHOTELS.COM/,762
56,LOCKHEED MARTIN,6801 ROCKLEDGE DRIVE,NOT AVAILABLE,BETHESDA,MD,20817,MONTGOMERY,97000,50658,39.031,-77.13895,HTTPS://WWW.LOCKHEEDMARTIN.COM/EN-US/INDEX.HTML,5302
